"Time (s)","Pressure (hPa)"
-5.466002084E-1,9.994277954E2
4.802577916E-1,9.994288635E2
1.507090792E0,9.994298553E2
2.533958792E0,9.994362640E2
3.560799792E0,9.994467163E2
3.761146792E0,9.994513702E2
4.821137792E0,9.994559479E2
5.881074792E0,9.994583130E2
6.940957792E0,9.994583130E2
8.000875792E0,9.994570923E2
9.060813792E0,9.994532776E2
1.012072679E1,9.994390106E2
1.118068579E1,9.994379425E2
1.224064079E1,9.994379425E2
1.330056379E1,9.994401550E2
1.436054579E1,9.994402313E2
1.542050279E1,9.994451904E2
1.648034179E1,9.994499969E2
1.754019679E1,9.994499969E2
1.860004579E1,9.994499969E2
1.965986579E1,9.994522858E2
2.071970879E1,9.994537354E2
2.177957179E1,9.994538879E2
2.283946979E1,9.994541168E2
2.389940679E1,9.994565582E2
2.495934079E1,9.994566345E2
2.601929079E1,9.994566345E2
2.707920079E1,9.994566345E2
2.813910179E1,9.994575500E2
2.919904979E1,9.994582367E2
3.025900179E1,9.994605255E2
3.131895179E1,9.994741821E2
3.237895379E1,9.994754028E2
3.343894879E1,9.994776154E2
3.449893879E1,9.994926453E2
3.555890279E1,9.994926453E2
3.661889979E1,9.994863129E2
3.767891579E1,9.994863129E2
3.873890779E1,9.994863129E2
3.979890879E1,9.994787598E2
4.085895079E1,9.994749451E2
4.191890679E1,9.994745636E2
4.297879079E1,9.994718170E2
4.403871079E1,9.994680786E2
4.509866879E1,9.994642639E2
4.615869679E1,9.994602966E2
4.721870279E1,9.994572449E2
4.827867079E1,9.994566345E2
4.933863679E1,9.994564819E2
5.039856679E1,9.994564819E2
5.145847179E1,9.994542694E2
5.251842479E1,9.994531250E2
5.357829879E1,9.994531250E2
5.463821279E1,9.994575500E2
5.569820079E1,9.994694519E2
5.675818979E1,9.994799042E2
5.781815279E1,9.994820404E2
5.887806379E1,9.994876099E2
5.993803879E1,9.994876099E2
6.099793779E1,9.994821167E2
6.205783579E1,9.994821167E2
6.311776279E1,1.000099564E3
6.417767679E1,1.001439209E3
6.523763879E1,1.003194122E3
6.629764279E1,1.004991608E3
6.735761879E1,1.006767578E3
6.841756379E1,1.008021622E3
6.947753779E1,1.008542252E3
7.053744379E1,1.008595810E3
7.159738179E1,1.008605499E3
7.265732479E1,1.008610001E3
7.371729179E1,1.008621140E3
7.477720379E1,1.008659515E3
7.583709779E1,1.008761749E3
7.689701279E1,1.008840027E3
7.795691079E1,1.008865128E3
7.901683579E1,1.008869400E3
8.007676379E1,1.008988953E3
8.113674179E1,1.009418335E3
8.219672379E1,1.010002518E3
8.325669679E1,1.010667953E3
8.431664479E1,1.010667953E3
8.537662179E1,1.010067749E3
8.643657279E1,1.007767944E3
8.749651279E1,1.005321045E3
8.855643679E1,1.002833557E3
8.961638379E1,1.000305786E3
9.067629179E1,9.994763947E2
9.173620979E1,9.994763947E2
9.279616779E1,9.994768524E2
9.385607479E1,9.994779205E2
9.491599779E1,9.994786072E2
9.597592679E1,9.994804382E2
9.703585179E1,9.994807434E2
9.809579279E1,9.996149445E2
9.915570779E1,1.000891113E3
1.002155948E2,1.002125397E3
1.012755008E2,1.003445892E3
1.023354628E2,1.006057053E3
1.033954088E2,1.010225906E3
1.044553718E2,1.013576050E3
1.055152998E2,1.016984329E3
1.065752938E2,1.020191727E3
1.076352998E2,1.022323761E3
1.086953128E2,1.022323761E3
1.097553138E2,1.020564880E3
1.108153128E2,1.017126694E3
1.118753278E2,1.012601395E3
1.129353428E2,1.008135681E3
1.139953748E2,1.003421249E3
1.150553778E2,1.000853882E3
1.161153538E2,9.995560455E2
1.171753398E2,9.994763184E2
1.182352778E2,9.994763184E2
1.192952748E2,9.994776154E2
1.203553058E2,9.994786072E2
1.214152468E2,9.994789886E2
1.224752208E2,9.994789886E2
1.235352388E2,9.994789886E2
1.245952298E2,9.994786072E2
1.256552108E2,9.994779968E2
1.267152118E2,9.994758606E2
1.277751938E2,9.994721222E2
1.288351638E2,9.994668579E2
1.298951178E2,9.994604492E2
1.309550818E2,9.994565582E2
1.320150518E2,9.994521332E2
1.330750368E2,9.994495392E2
1.341349958E2,9.994493866E2
1.351950038E2,9.994489288E2
1.362550068E2,9.994474792E2
1.373149618E2,9.994470215E2
1.383749308E2,9.994452667E2
1.394348768E2,9.994452667E2
1.404948378E2,9.994432068E2
1.415548148E2,9.994422150E2
1.426147588E2,9.994422150E2
1.436747168E2,9.994419861E2
1.447346878E2,9.994422913E2
1.457946408E2,9.994422913E2
1.468545858E2,9.994422913E2
1.479145708E2,9.994412231E2
1.489746098E2,9.994396210E2
1.500346308E2,9.994388580E2
1.510946138E2,9.994388580E2
1.521546388E2,9.994388580E2
1.532146498E2,9.994386292E2
1.542746228E2,9.994386292E2
1.553345988E2,9.994391632E2
1.563946538E2,9.994403839E2
1.574546978E2,9.994406891E2
1.585147808E2,9.994414520E2
1.595748628E2,9.994422150E2
1.606349238E2,9.994416809E2
1.616950148E2,9.994427490E2
1.627550678E2,9.994422913E2
1.638150578E2,9.994429016E2
1.648751088E2,9.994422913E2
1.659352268E2,9.994419861E2
1.669952828E2,9.994418335E2
1.680552988E2,9.994408417E2
1.691153488E2,9.994389343E2
1.701754008E2,9.994386292E2
1.712354938E2,9.994384003E2
1.722955608E2,9.994359589E2
1.733556318E2,9.994359589E2
1.744156938E2,9.994359589E2
1.754757318E2,9.994347382E2
1.765357848E2,9.994338226E2
1.775958008E2,9.994334412E2
1.786558498E2,9.994327545E2
1.797158948E2,9.994319153E2
1.807759468E2,9.994313812E2